"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1568","RT @realDonaldTrump: Want jobs? Slash corporate tax rate.  Tax incentives for companies that create jobs in US.  America will boom.",FALSE,0,NA,2018-01-30 23:56:52,FALSE,NA,"958489218745012224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tim_couillard",654,TRUE,FALSE,NA,NA
"1569","@realDonaldTrump @LouDobbs @freedomcaucus @RepDeSantis @RepMarkMeadows @Jim_Jordan @RepMattGaetz This is what no-bo… https://t.co/xXPeYzHmnn",FALSE,1,"realDonaldTrump",2018-01-30 23:56:52,TRUE,NA,"958489218564714496","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","X5MSport15",0,FALSE,FALSE,NA,NA
"1570","@RepAdamSchiff @DevinNunes @SpeakerRyan @realDonaldTrump @CNN Rep Shiff, release your memo and tell the Republi-com… https://t.co/l3yKmL7zuE",FALSE,0,"RepAdamSchiff",2018-01-30 23:56:51,TRUE,NA,"958489216584994816","29501253","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TEDukes",0,FALSE,FALSE,NA,NA
"1571","@ar15m4mid @realDonaldTrump @POTUS Very nice! <U+2764><U+FE0F>",FALSE,1,"ar15m4mid",2018-01-30 23:56:51,FALSE,"958389948528414722","958489216555634689","1732089247","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JerieQuinty",0,FALSE,FALSE,NA,NA
"1572","@WhiteHouse yes he is, it is exciting times for true Americans #DrainTheSwamp @potus @realDonaldTrump #MAGa #MASA… https://t.co/ceApuu0dLZ",FALSE,0,"WhiteHouse",2018-01-30 23:56:51,TRUE,"958486492527104000","958489216496947200","822215673812119553","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jdavis3",0,FALSE,FALSE,NA,NA
"1573","RT @SenWhitehouse: Russia sanctions passed Congress with total vote 517-5 and @realDonaldTrump won't act on them. Hmmmm. What will it take?",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489216400478209",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","georgannab1",3578,TRUE,FALSE,NA,NA
"1574","RT @tedlieu: This story on Victor Cha shows the continued chaos of the @realDonaldTrump Administration when it comes to North Korea. Utterl…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489216287158274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ITDad66",2322,TRUE,FALSE,NA,NA
"1575","@SenSchumer @realDonaldTrump Cannot bear to watch a President that doesn’t investigate why Russian hacked into our… https://t.co/b3t7YtiVIV",FALSE,0,"SenSchumer",2018-01-30 23:56:51,TRUE,"958413493950189570","958489216219987968","17494010","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mstovik",0,FALSE,FALSE,NA,NA
"1576","RT @BillOReilly: President @realDonaldTrump would be wise to avoid mentioning the @FBI or the Mueller investigation during tonight's #SOTU.…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489216018558976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","buddy_laoulach",2125,TRUE,FALSE,NA,NA
"1577","@CoryBooker @HouseGOP @SenateGOP: you all need to pull your heads out and take action to stop @realDonaldTrump from… https://t.co/slHFFbPQ6k",FALSE,0,"CoryBooker",2018-01-30 23:56:51,TRUE,"958443620763340806","958489215775453189","15808765","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sandee05101943",0,FALSE,FALSE,NA,NA
"1578","RT @KimberleeLenz: @TronaldDumpo @vwcdrive @BrendanNyhan @realDonaldTrump I saw someone say that 45 will get accolades along the lines of ""…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489214873554945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreenEyezzzzz",18,TRUE,FALSE,NA,NA
"1579","RT @ExDemLatina: .@realDonaldTrump should just read part of Bill Clinton’s #SOTU address from 1995 word for word on Illegal Immigration.…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489214290710528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteelersFn36",1550,TRUE,FALSE,NA,NA
"1580","@realDonaldTrump Pants on fire you fuck. I hope your wife divorces you and exposes EVERYTHING she knows about ol Donnie boy",FALSE,0,"realDonaldTrump",2018-01-30 23:56:51,FALSE,"957603804383465472","958489214009708550","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","surferdude1313",0,FALSE,FALSE,NA,NA
"1581","RT @TheCheefReport: Hey Don Lemon, if @realDonaldTrump wanted to fire any of them, don’t you think he would’ve? After all, didn’t you and t…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489213955198976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RetNavy93",23,TRUE,FALSE,NA,NA
"1582","RT @thagayguru: See the depth.

#ReleaseTheMemo
#GreatAwakening 
#WeThePeople 
@realDonaldTrump 
@Kre8change 
#SPEAKPROJECT https://t.co/ER…",FALSE,0,NA,2018-01-30 23:56:51,FALSE,NA,"958489213577695232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","caren_fine",2,TRUE,FALSE,NA,NA
